,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,CUA,CUT,FAC,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAG,SFE,TAH,TLA,TLI,UAX,UIZ,VIF,XAL,FAR,SAC,dates
0,17.75,20.99,11.42,22.9,36.01,15.39,39.97,45.98,51.72,16.77,38.39,3.62,42.86,22.7,31.48,3.12,2.44,37.55,47.07,39.19,46.5,43.15,45.52,8.4,65.15,49.18,12.19,2.69,60.05,48.02,4.52,2.89,12.14,50.79,2021-01-01-00
1,14.62,16.31,5.95,20.01,28.59,15.55,35.9,53.38,31.77,12.11,29.11,1.9100000000000001,40.86,13.04,34.3,2.23,1.95,42.93,41.28,40.75,45.76,36.93,40.92,3.62,44.98,47.85,13.79,1.37,41.68,79.51,2.42,0.87,3.64,43.0,2021-01-01-01
2,15.13,19.8,4.72,19.61,26.82,20.14,36.28,41.27,40.1,11.16,22.63,4.41,38.18,14.32,34.64,5.85,5.42,40.84,38.56,39.69,37.28,41.9,50.51,4.57,58.69,45.69,6.36,6.62,42.32,57.12,7.28,3.38,6.15,36.75,2021-01-01-02
3,17.49,24.3,15.64,28.34,31.29,19.11,34.11,39.27,42.34,16.17,22.27,12.2,38.24,22.0,28.36,15.51,15.93,36.03,35.74,51.37,34.27,38.11,42.85,13.93,77.15,47.52,19.79,16.52,43.08,49.11,21.88,15.06,9.7,37.63,2021-01-01-03
4,23.08,30.57,16.29,38.02,37.66,26.98,39.47,48.66,49.96,23.72,28.23,21.1,47.86,32.0,34.89,24.92,21.02,40.16,43.21,48.85,39.74,29.07,52.08,18.56,77.1,44.28,28.42,23.83,42.45,48.3,31.0,23.74,12.22,35.52,2021-01-01-04
5,20.63,19.33,10.85,20.06,28.76,20.92,32.89,46.0,30.55,14.3,23.26,4.07,35.03,24.27,37.45,3.74,3.66,36.72,43.01,33.94,28.6,30.42,40.75,12.1,42.05,32.83,16.23,3.41,33.2,76.35,3.85,3.59,16.69,33.51,2021-01-01-05
6,13.75,14.07,11.66,17.16,32.97,23.04,42.73,48.25,30.97,12.41,24.33,5.5600000000000005,41.7,22.84,42.94,6.67,7.4,41.47,51.64,49.16,38.66,43.34,56.53,8.14,115.14,44.02,9.67,8.85,45.67,62.57,5.26,5.6,10.89,46.9,2021-01-01-06
7,17.86,24.41,18.92,18.56,36.96,24.96,37.82,46.54,40.92,12.05,26.47,10.04,43.34,32.1,42.21,10.18,12.69,41.95,48.03,51.72,34.63,46.73,44.36,11.83,55.78,48.78,14.6,12.65,48.56,116.14,10.34,10.49,9.76,47.53,2021-01-01-07
8,23.03,26.1,7.32,34.57,40.16,28.04,49.94,54.65,40.48,20.21,31.45,17.85,46.09,33.49,34.27,20.24,19.26,39.87,52.22,51.37,31.16,35.38,56.54,16.3,118.14,45.31,22.59,20.19,49.44,50.28,22.72,19.19,11.58,43.61,2021-01-01-08
9,29.4,32.43,16.27,42.72,47.54,32.04,45.72,47.21,49.89,29.19,25.46,26.41,52.73,42.16,47.47,27.88,27.8,45.09,52.6,42.25,37.83,41.42,54.43,25.76,65.54,46.34,32.79,27.37,45.0,55.06,29.46,25.92,20.15,46.27,2021-01-01-09
